id,target_id,target_short_name,target_nation,applicant,abstract,invention_name
2134671,2886,AM Group,Spain,소니그룹주식회사|소니 코포레이션 오브 아메리카,"가상 콘텐츠 권한들을 사용하여 가상 환경에서 디지털 콘텐츠에 대한 액세스를 관리하는 것은, 가상 환경의 사용자를 디지털 콘텐츠와 관련하여 취득된 가상 콘텐츠 권한들과 연관시키는 데이터를 포함하는 가상 콘텐츠 권한들 데이터베이스를 제공하는 것; 프로세서에서, 디지털 콘텐츠의 가상 콘텐츠 권한들의 할당에 대한 요청을 사용자의 디바이스로부터 수신하는 것 - 사용자는 디바이스를 사용하여 프로세서와 인터페이스함 -; 사용자에 대한 가상 콘텐츠 권한들의 할당을 나타내기 위해 가상 콘텐츠 권한들 데이터베이스를 업데이트하는 것; 프로세서에서, 노래들을 포함하는 디지털 콘텐츠에 대한 가상 콘텐츠 권한들을 보유하는 사용자의 디바이스로부터 데이터를 수신하여 노래들 중 적어도 하나를 갖는 가상 사용자-구성된 음악 룸을 생성하는 것; 및 가상 환경 내에서 사용자에 의한 가상 사용자-구성된 음악 룸의 공유를 나타내기 위해 가상 콘텐츠 권한들 데이터베이스를 업데이트하는 것을 포함한다.",가상 환경들에서의 사용자-구성된 음악 룸 디지털 자산들
6165140,469,A+ Conferencing Ltd,United States,정성재,"본 발명은 머신러닝을 활용한 이미지 기반 검색 서비스 제공 시스템에 관한 것으로, 본 발명에 따르면 도형 상표에 대한 이미지 파일을 분석하여 비엔나코드를 추론한 후 검색이 이루어지기 때문에, 도형 상표에 대한 검색이 매우 효율적으로 이루어질 수 있다.",머신러닝을 활용한 이미지 기반 검색 서비스 제공 시스템
1929250,45822,Raven Industries Inc,United States,"Raven Industries, Inc."," System and techniques for adaptive color transformation to aid computer vision are described herein. Colors from an image are mapped into a multi-dimensional space to create a distribution of colors in the image. A line can be fit to the distribution. Here, the line includes an angle relative to a coordinate system of the multi-dimensional space. A transformation to colors can then be applied to the image based on the angle of the line. The transformation producing a reduced image where a color complexity of the original image is reduced. 
				",Adaptive color transformation to aid computer vision
717128,26853,ICM Co Ltd,Japan,상하이 어위닉 마이크로일렉트로닉스 테크놀로지 컴퍼니 리미티드,"본 출원의 실시예는 구동 장치, 이미지 수집 모듈 및 전압 조절 방법을 제공하고, 이미지 수집 장치의 모터를 구동하기 위한 구동 장치는 제어 모듈, 구동 모듈 및 전압 조절 유닛을 포함하며; 제어 모듈은 이미지 수집 장치의 변위 정보를 획득하고, 변위 정보에 기반하여 구동 모듈에 구동 전류 명령을 송신하며, 변위 정보에 기반하여 전압 조절 유닛에 전압 조절 신호를 송신하는 데 사용되고; 구동 모듈은 구동 전류 명령에 따라 구동 전류를 생성하는 데 사용되며; 전압 조절 유닛은 전압 조절 신호에 따라, 전원에서 입력한 전압을 구동 전류에 매칭되는 구동 전압으로 조절하고, 구동 전압을 구동 모듈에 전송하여, 구동 모듈이 구동 전류 및 구동 전압을 통해 모터를 구동하도록 하는 데 사용된다. 본 출원은 전압 조절 유닛이 전원에서 입력한 전압을 구동 전류에 매칭되는 구동 전압으로 조절하도록 하는 전압 조절 신호를 생성하여, 전압 조절 유닛이 모터 구동에 필요한 전력에 기반하여 입력된 전압을 제어함으로써, 에너지 효율비를 향상시킨다.","구동 장치, 이미지 수집 모듈 및 전압 조절 방법"
1550012,53911,Sun* Inc,Japan,성신양회 주식회사,본 발명은 킬른을 사용하여 연속식으로 석면슬레이트의 무해화 공정을 진행함과 동시에 무해화된 석면슬레이트를 시멘트 혼화재로 이용할 수 있는 킬른을 이용한 연속식 석면슬레이트 무해화 방법 및 이를 이용하여 제조되는 시멘트 혼화재에 관한 것이다. 본 발명은 (a) 킬른에 폐석면 슬레이트를 공급하는 단계; (b) 상기 킬른을 800~2500℃로 가열하는 단계; (c) 처리된 석면을 회수하는 단계를 포함하는 석면슬레이트 무해화 방법에 있어서 상기 킬른은 로터리 킬른을 사용하며 연속적으로 수행되는 적을 특징으로 하는 킬른을 이용한 연속식 석면슬레이트 무해화 방법을 제공한다.,킬른을 이용한 연속식 석면슬레이트 무해화 방법 및 이를 이용하여 제조되는 시멘트 혼화재
7997167,63237,YU Co Ltd,South Korea,삼성전자주식회사|협진커넥터(주),"본 발명의 다양한 실시 예에 따른 멀티 접속 장치는, 하우징; 및 전기적으로 접속하기 위해, 상기 하우징으로부터 제 1 방향으로 돌출되는 제 1 접속 단자 또는 제 2 방향으로 돌출 되는 제 2 접속 단자를 포함할 수 있다. 이외에 다양한 실시 예들이 가능할 수 있다.",멀티 접속 장치
1978489,441,A Biotech Co Ltd,South Korea,광저우 뉴 디자인 바이오테크놀로지 컴퍼니 리미티드,"본 발명은 경부보조 전방지지구, 좌측판, 우측판, 하악지지판 및 높이조정노브를 구비하는 조정 가능한 경부지지장치를 제공한다. 좌측판과 우측판은 경부보조 전방지지구의 좌단과 우단에 각각 이동 가능하게 연결되고, 하악지지판은 좌측판과 우측판 사이에 연결되며, 높이조정노브는 경부보조 전방지지구에 장착된다. 높이조정노브는 조작 뚜껑과 조작 뚜껑에 연결된 권취 포스트를 포함하고, 권취 포스트는 경부보조 전방지지구 내에 장착되며, 경부보조 전방지지구 내에는 제1 슬라이더 및 제2 슬라이더가 슬라이드 가능하게 장착되고, 제1 슬라이더는 경부보조 전방지지구의 좌단과 좌측판을 슬라이드 가능하게 연결하며, 제2 슬라이더는 경부보조 전방지지구의 우단과 우측판을 슬라이드 가능하게 연결한다. 권취 포스트에는 제1 케이블과 제2 케이블이 감겨져 있으며, 제1 케이블의 양단은 모두 제1 슬라이더에 고정되고, 제2 케이블의 양단은 모두 제2 슬라이더에 고정된다. 본 발명의 조정 가능한 경부지지장치는 높이 조정 조작이 원활하고 조작이 용이하며 사용수명이 길다.",조정 가능한 경부지지장치
1324341,45890,Re:Build,Japan,에이치디한국조선해양 주식회사,"본 발명은 작업자의 용접 숙련도와 상관없이 균일하고 최적의 용접 품질을 얻을 수 있는 지능형 용접시스템 및 용접 방법에 관한 것으로, 본 발명의 지능형 용접시스템은 피용접 부재(10)를 용접하게 되는 용접기(110)와; 상기 용접기(110)에 용접 전원을 공급하기 위한 용접 전원부(120)와; 입력된 피용접 부재의 정보와 부합하는 용접 파라미터를 용접조건 DB로부터 호출하여 상기 용접기(110)와 상기 용접 전원부(120)를 제어하는 지능형 제어기(130)를 포함한다.",지능형 용접시스템 및 그 용접 방법
1371995,47496,Rs S&M Corp,South Korea,한국기초과학지원연구원|호남대학교 산학협력단|주식회사 농업회사법인 구례삼촌,"본 발명은 쑥부쟁이 추출물을 유효성분으로 포함하는 항염증 조성물에 관한 것이다.  본 발명에 따른 조성물은, LPS를 500 ng/ml 처리한 RAW 264.7 세포(2×10  5  cell/well)를 기준으로 할 때 쑥부쟁이 물 추출물 또는 쑥부쟁이 70% 에탄올 추출물을 25~200 ug/ml로 포함하는 것을 특징으로 하는 항염증 조성물에 관한 것이다.  본 발명에 따른 조성물의 항염증 기능성은 세포 독성이 없고, NO 및 PGE  2  의 생성을 저해하며, 염증성 사이토카인 TNF-α, IL-6 및 IL-1β의 발현을 저해하는 효능에 근거한다.",쑥부쟁이 추출물을 유효성분으로 포함하는 항염증 조성물
1065998,37851,nat Inc,Japan,스미스 인터내셔널 인크.,"본 발명은 텅스텐 레늄 화합물, 복합재 및 그 제조방법에 관한 것이다.  텅스텐 레늄 분말이 함께 혼합되어 고온 및 고압에서 소결됨으로써 단일의 화합물을 형성한다. 초경 재료가 또한 첨가될 수 있다. 상기 텅스텐, 레늄 및 초경 재료가 함께 혼합되고, 이어, 고온 및 고압에서 소결된다.","텅스텐 레늄 화합물, 복합재 및 그 제조방법"
3580657,51344,SIT,Japan,에스케이하이닉스 주식회사|충북대학교 산학협력단|고려대학교 세종산학협력단|한국에너지기술연구원,"콘택 구조의 형성 방법, 반도체 소자의 제조 방법, 콘택 구조 및 이를 포함하는 반도체 소자에 관해 개시되어 있다. 개시된 콘택 구조의 형성 방법은 기판 상에 에피택시 공정을 이용해서 다공성 실리콘층을 형성하는 단계, 상기 다공성 실리콘층 상에 유전체층을 형성하는 단계, 상기 유전체층 상에 금속층을 형성하는 단계, 상기 다공성 실리콘층과 상기 유전체층 및 상기 금속층에 대한 열처리 공정을 수행하여 상기 금속층의 금속 원자를 상기 유전체층을 통해 상기 다공성 실리콘층으로 확산시키고 상기 다공성 실리콘층과 반응시켜 상기 다공성 실리콘층의 기공 내에 입체적 구조를 갖는 실리사이드 부재를 형성하는 단계, 상기 금속층 및 상기 유전체층을 제거하는 단계 및 상기 실리사이드 부재와 접촉된 금속성 도전층을 형성하는 단계를 포함할 수 있다.","콘택 구조의 형성 방법, 반도체 소자의 제조 방법, 콘택 구조 및 이를 포함하는 반도체 소자"
2716384,25501,Hi Corp,Japan,아사히 가세이 배터리 세퍼레이터 가부시키가이샤,"규소(Si) 함유 분자를 포함하는 비수계 이차 전지용 세퍼레이터이며, 비수계 이차 전지용 세퍼레이터의 비행 시간형 2차 이온 질량 분석법(TOF-SIMS) 측정으로 검출된 Si 함유 화상에 대해서, 보로노이 분할을 행하여 얻어지는 보로노이 다각형 중 최대 빈도의 보로노이 면적(mu)이, 1.0㎛  2  내지 17.5㎛  2  또는 6.0㎛  2  내지 12.0㎛  2  의 범위 내에 있고, 또한 TOF-SIMS 측정으로 검출된 Si 함유 화상의 보로노이 면적 빈도 분포의 확대(σ)가, 0.5㎛  2  내지 8.5㎛  2  의 범위 내에 있는 비수계 이차 전지용 세퍼레이터가 제공된다.",실록산 분산 가교형 세퍼레이터
251179,9289,CA Communications-Telecom,United States,한국전자통신연구원,"본 발명에 따른 블록체인 생성 장치의 합의노드 선정 방법은, 노드의 난스 체인으로부터 난스를 읽어오는 단계, 상기 읽혀진 난스와 이전 height 정보를 연산하는 단계, 및 상기 노드를 합의노드로 선정하기 위하여 상기 연산된 값과 기준값을 비교하는 단계를 포함할 수 있다.",난스 증명 기반 분산합의 노드 선정 방법 및 장치
2198047,4735,AT Semicon Co Ltd,South Korea,가부시키가이샤 한도오따이 에네루기 켄큐쇼,"편의성, 유용성, 또는 신뢰성이 우수한 신규 광전 변환 디바이스를 제공한다. 제 1 전극(551S)과, 제 2 전극(552S)과, 유닛(103S)을 가지는 광전 변환 디바이스(550S)이고, 유닛(103S)은 제 1 전극(551S)과 제 2 전극(552S) 사이에 끼워지고, 유닛(103S)은 제 1 층(113) 및 제 2 층(114S)을 가지고, 제 1 층(113)은 제 2 전극(552S)과 제 2 층(114S) 사이에 끼워진다. 제 1 층(113)은 제 1 유기 화합물(ETM)을 포함하고, 제 1 유기 화합물(ETM)은 전자 수송성을 가지고, 제 1 유기 화합물(ETM)은 제 1 준위(LUMO1)에 LUMO 준위를 가진다. 또한 제 2 층(114S)은 제 2 유기 화합물(CTM)을 포함하고, 제 2 유기 화합물(CTM)은 실온에서 지연 형광을 방출하고, 제 2 유기 화합물(CTM)은 제 2 준위(LUMO2)에 LUMO 준위를 가진다. 제 2 준위(LUMO2)와 제 1 준위(LUMO1)의 차이는 1.0eV 이하이다.",광전 변환 디바이스 및 표시 장치
6160702,468,A+ Communications & Security,United States,(주)하비스,"본 발명의 캠핑 장치는, 차량의 후방에 설치되는 본체; 상기 본체의 일측에 회동되는 확장판; 상기 확장판을 지지하는 받침판; 을 포함할 수 있다.",받침판을 포함하는 캠핑 장치
587453,22752,Gil On Co Ltd,South Korea,김영길|(주)에너제닉,"본 발명은 화장실용 절전스위치에 관한 것으로서, 보다 상세하게는 화장실 내부로 들어서거나 나가는 동작과 함께 도어의 열고 닫는 작동에 의해 화장실 내부에 구비된 조명등을 자동 및 수동으로 점등과 소등을 시킬 수 있어 에너지 절감을 도모함은 물론이고 사용상 편의를 향상시키고, 저렴한 제조원가를 실현한 화장실용 절전스위치에 관한 것이다.  본 발명에 의하면, 화장실에 들어오거나 나가는 동작에는 인체감지수단이 조명등을 자동으로 점등시키게 됨과 동시에 화장실 도어의 열고 닫는 작동에 의해 푸시버튼스위치가 조명등을 수동으로 점등과 소등을 시킬 수 있어 에너지 절감을 도모함은 물론이고 사용상 편의를 향상시키고, 그 구조가 간단하여 저렴한 제조원가를 실현할 수 있는 효과를 나타낸다.  절전 스위치, 푸시버튼스위치, 동체 감지센서부",화장실용 절전스위치
